Class,Precision,Recall,F1-score,Support,source_file
14,0.43,0.47,0.45,102,svc_rbf_report_result_optical_random_mesurements.json
15,0.81,0.55,0.65,91,svc_rbf_report_result_optical_random_mesurements.json
16,0.69,0.98,0.81,110,svc_rbf_report_result_optical_random_mesurements.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_random_mesurements.json
0,0.82,0.99,0.9,99,svc_rbf_report_result_optical_topk.json
1,0.53,0.52,0.52,104,svc_rbf_report_result_optical_topk.json
2,0.56,0.59,0.58,112,svc_rbf_report_result_optical_topk.json
3,0.89,0.97,0.93,86,svc_rbf_report_result_optical_topk.json
4,0.56,0.56,0.56,88,svc_rbf_report_result_optical_topk.json
5,0.86,0.7,0.78,98,svc_rbf_report_result_optical_topk.json
6,0.95,0.98,0.97,101,svc_rbf_report_result_optical_topk.json
7,0.88,0.68,0.77,94,svc_rbf_report_result_optical_topk.json
8,0.94,0.77,0.84,99,svc_rbf_report_result_optical_topk.json
9,0.95,1.0,0.97,105,svc_rbf_report_result_optical_topk.json
10,0.93,0.96,0.94,121,svc_rbf_report_result_optical_topk.json
11,0.47,0.52,0.49,99,svc_rbf_report_result_optical_topk.json
12,0.9,0.6,0.72,94,svc_rbf_report_result_optical_topk.json
13,0.9,1.0,0.95,97,svc_rbf_report_result_optical_topk.json
14,0.43,0.47,0.45,102,svc_rbf_report_result_optical_topk.json
15,0.81,0.55,0.65,91,svc_rbf_report_result_optical_topk.json
16,0.69,0.98,0.81,110,svc_rbf_report_result_optical_topk.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_topk.json
